host_name,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value
The Collective Paper Factory Hotel,98,7.0,Queens,40.75403,-73.92812,Private room,2,1.0,1 private bath,1.0,199.0,14,4.71,4.93,4.93,4.71,4.71,4.71
Ima,100,1.0,Bronx,40.82451,-73.85288,Entire home/apt,3,1.0,1 bath,1.0,130.0,42,4.74,4.74,4.86,4.83,4.74,4.79
Jose,99,10.0,Queens,40.73669,-73.9206,Private room,1,1.5,1.5 baths,1.0,60.0,127,4.65,4.69,4.56,4.83,4.69,4.56
Best Inns USA,71,39.0,Manhattan,40.73259,-73.98538,Entire home/apt,2,1.0,1 bath,0.0,74.0,4,5.0,5.0,5.0,5.0,5.0,4.5
Nate,62,1.0,Brooklyn,40.7184,-73.95365,Entire home/apt,2,1.0,1 bath,0.0,114.0,23,4.83,4.87,4.61,5.0,4.96,4.78
Aka Times Square,100,18.0,Manhattan,40.75778,-73.98528,Entire home/apt,5,1.0,1 bath,2.0,629.0,25,4.76,4.52,4.68,4.72,4.84,4.56
Lizavero,94,1.0,Queens,40.76155,-73.81965,Entire home/apt,4,2.0,2 baths,2.0,173.0,58,4.81,4.84,4.67,4.81,4.69,4.79
Eliza,100,67.0,Manhattan,40.747537897289554,-73.98695764065717,Private room,4,1.0,1 bath,1.0,64.0,17,4.35,4.35,4.59,4.71,4.88,4.12
Edward,96,4.0,Brooklyn,40.68266,-73.94237,Entire home/apt,3,1.0,1 bath,1.0,120.0,22,4.78,4.87,4.65,4.91,4.65,4.7
Isaac,96,3.0,Manhattan,40.7193331,-73.98946289999999,Entire home/apt,7,2.5,2.5 baths,3.0,1100.0,16,4.94,4.94,4.88,4.94,4.94,4.75
Dorit,100,44.0,Brooklyn,40.6237920367814,-74.02839542028835,Entire home/apt,2,1.0,1 bath,1.0,150.0,3,4.67,5.0,5.0,5.0,4.0,5.0
Kylie,97,10.0,Manhattan,40.71498,-73.98714,Private room,2,1.0,1 shared bath,1.0,84.0,21,4.67,4.71,4.81,4.76,4.24,4.52
Zipporah,100,2.0,Queens,40.70495,-73.75051,Entire home/apt,2,1.0,1 bath,1.0,100.0,21,4.81,4.86,4.86,4.9,4.67,4.71
Tony,100,5.0,Manhattan,40.82405,-73.94603,Private room,2,1.0,1 shared bath,1.0,139.0,76,4.91,4.88,4.85,4.96,4.81,4.85
Raanan,40,8.0,Manhattan,40.73324,-73.98396,Entire home/apt,3,1.0,1 bath,1.0,119.0,10,4.2,4.3,3.9,4.9,4.6,3.9
Petya,76,58.0,Queens,40.77221,-73.92885,Private room,1,1.0,1 shared bath,1.0,43.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Marcia,100,1.0,Brooklyn,40.70408,-73.98645,Private room,2,2.0,2 baths,1.0,265.0,111,4.89,4.95,4.89,4.93,4.96,4.81
Cristal,72,1.0,Bronx,40.84740819756538,-73.91340034910854,Entire home/apt,2,1.0,1 bath,1.0,75.0,3,4.67,4.33,4.33,5.0,3.33,4.0
Benjamin,76,26.0,Brooklyn,40.68929,-73.97759,Entire home/apt,2,1.0,1 bath,0.0,100.0,35,4.86,4.88,4.68,4.94,4.91,4.5
Kwab,100,3.0,Brooklyn,40.673141,-73.915642,Entire home/apt,6,2.0,2 baths,3.0,140.0,5,5.0,5.0,4.4,5.0,5.0,4.8
