host_name,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value
Raymond,100,5.0,Brooklyn,40.66128,-73.99054,Entire home/apt,6,1.0,1 bath,3.0,425.0,108,4.93,4.94,4.96,5.0,4.88,4.82
Monique,88,4.0,Brooklyn,40.64018149913662,-73.93451242222118,Private room,2,1.0,1 private bath,1.0,118.0,3,5.0,5.0,5.0,5.0,4.67,5.0
The Box House Hotel,99,40.0,Brooklyn,40.73777,-73.95366,Hotel room,2,1.0,1 private bath,1.0,189.0,31,4.87,4.97,4.94,4.87,4.87,4.77
Sol,85,14.0,Manhattan,40.78258,-73.94507,Entire home/apt,3,1.0,1 bath,0.0,87.0,7,4.86,4.71,4.29,5.0,5.0,4.71
Frank,100,3.0,Queens,40.67964,-73.84401,Private room,2,1.0,1 shared bath,1.0,80.0,12,4.5,4.75,4.83,4.42,4.58,4.17
Murat,100,6.0,Brooklyn,40.69279327701032,-73.93098865103161,Private room,2,1.0,1 shared bath,1.0,329.0,7,5.0,5.0,5.0,5.0,4.57,5.0
Dr.Julien,52,91.0,Brooklyn,40.66087,-73.93555,Private room,2,1.0,1 shared bath,1.0,65.0,5,4.4,4.4,4.4,3.8,4.2,3.8
Global Luxury Suites,99,1430.0,Bronx,40.80989,-73.93061,Entire home/apt,2,1.0,1 bath,1.0,153.0,24,4.46,4.63,4.75,4.38,4.25,4.46
Dominik,100,5.0,Manhattan,40.7191,-73.9834,Entire home/apt,4,1.5,1.5 baths,2.0,291.0,178,4.83,4.83,4.83,4.89,4.68,4.69
Joanna,92,2.0,Brooklyn,40.68725854751372,-73.91322826493997,Private room,6,1.0,1 private bath,2.0,200.0,34,4.85,4.85,4.82,4.91,4.82,4.79
Raymond,96,3.0,Brooklyn,40.65941721823564,-73.99427665485419,Entire home/apt,6,1.0,1 bath,3.0,291.0,8,5.0,5.0,5.0,4.88,5.0,5.0
Gisele,100,37.0,Manhattan,40.78136,-73.98408,Entire home/apt,4,1.0,1 bath,2.0,125.0,8,4.88,5.0,4.88,4.75,5.0,4.63
Cyn,100,1.0,Manhattan,40.78582,-73.94878,Private room,1,1.0,1 shared bath,1.0,65.0,14,4.71,4.71,4.86,4.71,4.93,4.71
Natalie Jane,100,5.0,Manhattan,40.76317395359346,-73.95672729626466,Entire home/apt,2,2.0,2 baths,1.0,280.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Joshua,100,5.0,Manhattan,40.77688,-73.96108,Entire home/apt,2,1.0,1 bath,1.0,77.0,8,5.0,5.0,5.0,5.0,5.0,4.63
Saint,100,1.0,Manhattan,40.7946,-73.94867,Private room,3,1.0,1 shared bath,1.0,85.0,318,4.83,4.89,4.73,4.94,4.73,4.78
Mari,88,2.0,Manhattan,40.78192689947972,-73.97302295062573,Entire home/apt,2,1.0,1 bath,1.0,116.0,104,4.73,4.88,4.79,4.87,4.93,4.67
Nadya,33,9.0,Staten Island,40.62814,-74.08666,Private room,2,2.0,2 shared baths,1.0,52.0,46,4.78,4.96,4.67,4.78,4.74,4.85
Amine,77,3.0,Brooklyn,40.63567,-73.94716,Entire home/apt,5,2.0,2 baths,3.0,189.0,7,5.0,4.71,4.86,5.0,4.57,4.71
O,14,3.0,Brooklyn,40.69236,-73.99234,Entire home/apt,2,1.0,1 bath,1.0,295.0,12,4.83,4.83,4.92,5.0,5.0,4.75
Julia,89,2.0,Brooklyn,40.7032023331574,-73.9150888359613,Entire home/apt,2,1.0,1 bath,1.0,85.0,4,4.5,5.0,4.75,5.0,4.75,4.75
June,72,1433.0,Manhattan,40.82206,-73.95484,Private room,1,0.0,0 shared baths,1.0,63.0,1,5.0,4.0,5.0,5.0,5.0,5.0
Nat,94,55.0,Manhattan,40.7926,-73.97491,Entire home/apt,1,1.0,1 bath,0.0,74.0,1,5.0,4.0,5.0,5.0,5.0,5.0
Arlene,92,3.0,Queens,40.67057,-73.7756,Private room,8,1.0,1 shared bath,3.0,100.0,17,4.94,4.82,4.94,4.94,4.59,4.88
Ingrid,91,2.0,Queens,40.59262,-73.78894,Entire home/apt,2,0.0,0 baths,0.0,40.0,230,4.84,4.82,4.54,4.94,4.7,4.66
Stanley,83,3.0,Brooklyn,40.69284,-73.97452,Entire home/apt,4,2.0,2 baths,1.0,235.0,45,4.82,4.89,4.44,4.96,4.98,4.82
Jessica,90,3.0,Manhattan,40.71886,-73.99021,Entire home/apt,1,1.0,1 bath,1.0,118.0,4,4.75,5.0,5.0,5.0,5.0,4.75
Jianfeng,99,2.0,Brooklyn,40.69644,-73.92897,Private room,2,1.0,1 shared bath,1.0,81.0,100,4.78,4.77,4.83,4.79,4.5,4.76
Michael,79,2.0,Brooklyn,40.57837,-73.96549,Entire home/apt,2,1.0,1 bath,1.0,139.0,11,4.73,4.64,4.64,4.82,4.73,4.73
Arafat,99,2.0,Brooklyn,40.67931409132167,-73.88183833664125,Entire home/apt,5,1.0,1 bath,2.0,134.0,11,4.18,4.55,4.18,3.82,4.36,4.09
Eugene,18,825.0,Brooklyn,40.64956,-73.95461,Private room,1,2.0,2 shared baths,1.0,36.0,2,5.0,5.0,5.0,5.0,5.0,5.0
Rod,97,15.0,Manhattan,40.71436,-73.98945,Entire home/apt,2,1.0,1 bath,1.0,200.0,4,4.75,4.5,5.0,4.75,4.5,4.75
B,66,10.0,Manhattan,40.82027,-73.94625,Entire home/apt,2,1.0,1 bath,0.0,175.0,8,4.88,4.75,4.88,4.63,5.0,5.0
Ron,95,2.0,Manhattan,40.79627998914019,-73.93328594092024,Entire home/apt,12,4.5,4.5 baths,4.0,629.0,4,5.0,5.0,5.0,5.0,5.0,4.75
Eliyahu,100,3.0,Brooklyn,40.67035196535254,-73.92417252537012,Entire home/apt,10,4.0,4 baths,5.0,349.0,7,4.57,4.71,4.57,4.86,4.57,4.43
Kristina,38,35.0,Brooklyn,40.70048,-73.91977,Shared room,1,2.0,2 shared baths,1.0,23.0,2,2.5,3.5,3.0,3.0,4.0,3.0
Agnes,95,2.0,Manhattan,40.8238,-73.94444,Private room,2,1.5,1.5 baths,1.0,45.0,680,4.71,4.69,4.74,4.82,4.64,4.72
Jesus,100,4.0,Queens,40.74521522523271,-73.91510831402071,Entire home/apt,4,1.0,1 bath,0.0,73.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Roberto Carlos,100,4.0,Manhattan,40.84022,-73.93587,Private room,2,1.0,1 shared bath,1.0,90.0,2,5.0,5.0,4.5,5.0,4.5,5.0
Steven,88,6.0,Manhattan,40.82022268787563,-73.9458042383194,Entire home/apt,3,1.0,1 bath,1.0,65.0,2,5.0,5.0,5.0,5.0,5.0,4.5
Robbin,100,2.0,Brooklyn,40.7217,-73.94205,Entire home/apt,2,1.0,1 bath,1.0,159.0,164,4.91,4.94,4.95,4.91,4.82,4.77
Giana,100,8.0,Brooklyn,40.64655,-73.90024,Private room,2,1.0,1 shared bath,1.0,90.0,1,5.0,5.0,3.0,5.0,5.0,5.0
Tom,19,21.0,Brooklyn,40.71076880862915,-73.95001798290936,Private room,1,1.0,1 shared bath,2.0,185.0,2,5.0,5.0,5.0,5.0,5.0,5.0
Angela,96,23.0,Queens,40.56807,-73.86946,Private room,2,1.0,1 bath,1.0,150.0,10,5.0,5.0,4.9,5.0,4.9,5.0
Sunny,97,3.0,Queens,40.74616,-73.87483,Private room,2,2.0,2 shared baths,1.0,50.0,78,4.91,4.9,4.86,4.96,4.76,4.86
Kaz,78,366.0,Queens,40.74993,-73.8783,Private room,1,1.0,1 shared bath,1.0,38.0,9,4.89,4.78,4.56,4.89,4.67,4.44
Esther,0,2.0,Manhattan,40.7464,-74.00024,Entire home/apt,2,1.0,1 bath,0.0,270.0,23,4.87,4.83,4.87,4.96,4.96,4.48
Heidi,71,1.0,Manhattan,40.80652,-73.94709,Entire home/apt,2,1.0,1 bath,1.0,130.0,33,4.88,4.88,4.97,4.73,4.67,4.82
M Mainul,90,3.0,Queens,40.76523,-73.87308,Private room,2,1.0,1 shared bath,1.0,32.0,67,4.67,4.82,4.67,4.88,4.7,4.81
Philip,100,6.0,Brooklyn,40.66487,-73.93006,Entire home/apt,12,2.0,2 baths,5.0,410.0,50,4.78,4.86,4.74,4.88,4.5,4.76
NYC Paradise Pool OaSiS,100,1.0,Queens,40.67323,-73.77715,Entire home/apt,4,1.0,1 bath,2.0,83.0,247,4.9,4.93,4.95,4.95,4.83,4.86
Leonel,100,3.0,Queens,40.76557,-73.9283,Private room,1,1.0,1 shared bath,1.0,80.0,21,4.9,4.86,4.81,4.9,4.76,4.71
Barry,50,47.0,Manhattan,40.77651,-73.98135,Entire home/apt,2,1.0,1 bath,1.0,160.0,9,4.89,4.89,5.0,5.0,5.0,4.89
Constantino,100,1.0,Brooklyn,40.72982333368435,-73.95975335337035,Entire home/apt,6,2.0,2 baths,2.0,850.0,4,5.0,5.0,5.0,4.75,5.0,4.5
Aminul,96,9.0,Brooklyn,40.66762,-73.89573,Private room,2,2.0,2 shared baths,1.0,45.0,17,4.65,4.71,4.53,4.71,4.53,4.41
Paul And Debra,100,1.0,Brooklyn,40.68176,-73.99473,Private room,2,1.0,1 private bath,2.0,240.0,113,4.83,4.88,4.76,4.98,4.98,4.72
Akash,90,1.0,Brooklyn,40.67472,-73.95492,Entire home/apt,4,2.0,2 baths,2.0,275.0,24,4.79,4.88,4.67,5.0,4.75,4.83
Wassim & Heather,100,1.0,Brooklyn,40.70866,-73.94245,Entire home/apt,2,1.0,1 bath,1.0,210.0,4,5.0,5.0,5.0,5.0,5.0,5.0
Eddie,99,7.0,Manhattan,40.86065,-73.93507,Entire home/apt,2,1.0,1 bath,1.0,99.0,36,4.75,4.79,4.59,5.0,4.68,4.76
Momoyo,80,299.0,Queens,40.7413,-73.89735,Shared room,2,1.0,1 shared bath,1.0,30.0,4,3.5,3.25,3.75,4.5,3.25,3.0
Anna,100,7.0,Manhattan,40.72308,-73.98148,Private room,1,1.0,1 shared bath,1.0,60.0,1,4.0,3.0,5.0,5.0,2.0,4.0
Urban Furnished,69,357.0,Manhattan,40.7706801,-73.9573166,Entire home/apt,6,2.0,2 baths,3.0,286.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Frank Marcel,99,2.0,Brooklyn,40.66874,-73.9152,Private room,2,2.0,2 shared baths,1.0,55.0,60,4.82,4.82,4.75,4.73,4.48,4.78
Stephany,100,1.0,Queens,40.72122,-73.75003,Entire home/apt,4,1.0,1 bath,1.0,88.0,63,4.81,4.83,4.79,4.86,4.75,4.79
Margrethe,77,1.0,Brooklyn,40.73283,-73.95617,Entire home/apt,2,1.0,1 bath,1.0,284.0,82,4.99,4.98,4.98,4.99,4.95,4.78
Wahid,99,3.0,Staten Island,40.63711,-74.1694,Private room,2,1.5,1.5 shared baths,1.0,65.0,21,4.71,4.65,4.5,4.75,4.5,4.55
Mike,100,1.0,Queens,40.70723,-73.78656,Private room,2,1.0,1 private bath,1.0,99.0,9,5.0,4.89,4.89,5.0,4.78,4.78
Usquire,68,72.0,Queens,40.70904244691897,-73.8033758833597,Entire home/apt,2,1.0,1 bath,1.0,83.0,4,5.0,4.75,5.0,5.0,4.75,4.25
Paulo,22,2.0,Queens,40.76797,-73.91625,Private room,2,1.0,1 shared bath,1.0,100.0,77,4.92,4.91,4.87,4.95,4.88,4.85
Luis Enrique,99,22.0,Brooklyn,40.68275,-73.91218,Private room,2,1.0,1 shared bath,1.0,36.0,4,3.75,4.0,3.75,4.5,4.75,4.0
Johny,50,6.0,Brooklyn,40.68418,-73.94205,Entire home/apt,6,2.0,2 baths,3.0,115.0,4,5.0,5.0,4.75,5.0,4.0,5.0
Tom,98,28.0,Manhattan,40.80832,-73.95533,Entire home/apt,1,1.0,1 bath,0.0,150.0,69,4.83,4.94,4.84,4.91,4.88,4.78
Reservation Desk,97,26.0,Manhattan,40.73492,-73.98454,Private room,2,4.0,4 shared baths,1.0,70.0,11,4.45,4.64,4.55,4.91,5.0,4.55
Lola,0,3.0,Queens,40.76524,-73.92071,Entire home/apt,2,1.0,1 bath,1.0,125.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Noomi,91,38.0,Manhattan,40.742603,-73.997589,Entire home/apt,3,1.0,1 bath,1.0,198.0,9,4.78,4.56,4.67,4.89,5.0,4.0
Ray,0,1.0,Brooklyn,40.68953,-73.95903,Entire home/apt,3,1.0,1 bath,1.0,96.0,92,4.91,4.86,4.81,4.98,4.74,4.88
Travis,98,6.0,Brooklyn,40.67992,-73.93789,Entire home/apt,2,1.0,1 bath,1.0,239.0,213,4.91,4.88,4.91,4.92,4.67,4.8
Shaun,100,1.0,Brooklyn,40.684106056650094,-73.93760979629516,Entire home/apt,6,2.5,2.5 baths,2.0,357.0,2,5.0,5.0,4.5,5.0,4.0,4.0
Eliza,100,67.0,Manhattan,40.74616,-73.98669,Private room,2,1.0,1 shared bath,1.0,53.0,26,4.27,4.46,4.04,4.5,4.77,4.38
Emma,72,20.0,Brooklyn,40.68193664439512,-73.91849881216237,Private room,4,1.0,1 bath,1.0,185.0,9,5.0,5.0,5.0,4.78,4.67,4.89
Ted,100,3.0,Manhattan,40.721359,-73.993668,Entire home/apt,3,1.0,1 bath,1.0,155.0,37,4.56,4.65,4.43,4.81,4.73,4.35
Carla,80,8.0,Manhattan,40.83286,-73.93891,Private room,1,1.0,1 shared bath,1.0,52.0,1,5.0,5.0,5.0,5.0,4.0,5.0
Irie,86,5.0,Manhattan,40.809044458939134,-73.94314010354046,Private room,2,1.0,1 shared bath,1.0,63.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Mohammed,89,6.0,Queens,40.6740055224731,-73.8596499872085,Private room,2,1.0,1 shared bath,1.0,45.0,6,5.0,5.0,5.0,5.0,5.0,5.0
Geoffrey,81,1.0,Queens,40.67589,-73.85781,Private room,2,1.0,1 private bath,1.0,89.0,256,5.0,4.99,5.0,4.99,4.87,4.96
Oumar,79,6.0,Bronx,40.85976,-73.90179,Entire home/apt,2,1.0,1 bath,1.0,189.0,15,4.87,4.93,4.8,5.0,4.4,4.53
Ivann,100,2.0,Queens,40.74768482711784,-73.92406812676047,Private room,2,1.0,1 shared bath,1.0,99.0,42,4.62,4.86,4.64,4.74,4.81,4.62
Hiroki,88,372.0,Brooklyn,40.70401,-73.94201,Private room,2,1.0,1 shared bath,1.0,40.0,2,4.0,4.0,4.0,4.0,4.0,4.5
Boris,95,2.0,Brooklyn,40.64402,-73.99751,Entire home/apt,3,1.0,1 bath,0.0,110.0,173,4.88,4.92,4.8,4.95,4.76,4.87
Travis,93,2.0,Brooklyn,40.6606056,-73.9843229,Entire home/apt,4,1.0,1 bath,2.0,300.0,51,4.96,4.86,4.88,4.96,4.96,4.84
Paula,100,2.0,Manhattan,40.83023,-73.9421,Entire home/apt,4,2.0,2 baths,2.0,315.0,79,4.77,4.89,4.54,4.87,4.66,4.75
Artie,95,1.0,Manhattan,40.82287,-73.93766,Entire home/apt,6,1.0,1 bath,2.0,230.0,6,4.33,4.83,4.67,4.67,4.83,4.67
Kwabena,86,1.0,Manhattan,40.7887535,-73.9473969,Entire home/apt,2,1.0,1 bath,0.0,240.0,19,4.95,4.95,4.95,5.0,4.58,4.95
Vadim,100,3.0,Brooklyn,40.69316,-73.94386,Private room,3,1.0,1 shared bath,2.0,199.0,79,4.86,4.87,4.87,4.89,4.76,4.74
Jeniffer,90,77.0,Manhattan,40.71868,-73.99371,Entire home/apt,2,1.0,1 bath,0.0,125.0,21,4.48,4.71,4.62,4.43,4.81,4.33
Blueground,97,5313.0,Manhattan,40.7383733,-73.9967525,Entire home/apt,2,1.0,1 bath,1.0,280.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Zoya,40,1.0,Manhattan,40.75735,-73.99174,Entire home/apt,4,1.0,1 bath,1.0,350.0,4,4.75,5.0,4.5,5.0,4.75,5.0
Derek,30,1.0,Brooklyn,40.6631,-73.99349,Entire home/apt,2,1.0,1 bath,1.0,145.0,16,4.56,4.63,4.56,4.69,4.5,4.56
Eliza,100,67.0,Manhattan,40.7465,-73.98868,Private room,2,1.0,1 shared bath,1.0,47.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Stavros,77,9.0,Manhattan,40.71933,-73.99168,Entire home/apt,4,1.0,1 bath,4.0,180.0,1,4.0,5.0,5.0,5.0,5.0,4.0
Laramie,73,11.0,Brooklyn,40.68972,-73.91512,Private room,2,1.0,1 shared bath,1.0,114.0,219,4.84,4.88,4.67,4.96,4.74,4.82
Ibrahim,100,1.0,Manhattan,40.721518,-73.9850044,Private room,2,2.0,2 shared baths,2.0,369.0,4,5.0,5.0,4.75,5.0,4.75,5.0
Jeniffer,38,161.0,Manhattan,40.76509,-73.99464,Entire home/apt,4,1.0,1 bath,2.0,125.0,2,4.5,4.5,4.5,4.5,4.5,4.5
Stay With Vibe,74,330.0,Manhattan,40.71879,-73.99751,Entire home/apt,2,1.0,1 bath,1.0,121.0,15,4.47,4.6,4.0,4.67,4.87,4.0
Marco,97,3.0,Queens,40.74299990000001,-73.8978841,Private room,2,1.0,1 shared bath,1.0,45.0,15,4.8,4.87,4.67,4.87,4.87,4.67
Stay With Vibe,74,330.0,Manhattan,40.74218,-73.97835,Entire home/apt,2,1.0,1 bath,1.0,110.0,18,4.44,4.56,4.44,4.67,4.56,4.28
Wismick,100,1.0,Brooklyn,40.625278,-73.9114,Entire home/apt,4,1.0,1 bath,2.0,187.0,29,4.72,4.72,4.83,4.86,4.72,4.59
Tiffany,98,28.0,Manhattan,40.75201,-73.99502,Entire home/apt,2,1.0,1 bath,1.0,628.0,32,4.56,4.59,4.53,4.66,4.81,4.34
Sunlight,100,3.0,Manhattan,40.73258,-73.99958,Entire home/apt,4,1.0,1 bath,1.0,350.0,16,4.81,4.88,4.75,5.0,5.0,4.69
Lance,80,3.0,Brooklyn,40.69539,-73.94954,Entire home/apt,1,1.0,1 bath,1.0,121.0,109,4.98,4.99,4.99,4.97,4.83,4.93
Kevin,33,1.0,Brooklyn,40.70269,-73.9873,Entire home/apt,2,1.0,1 bath,1.0,80.0,16,4.69,4.88,3.81,5.0,5.0,4.88
Anthony,81,1.0,Brooklyn,40.6824674579386,-73.95452586254555,Entire home/apt,8,2.5,2.5 baths,4.0,245.0,51,4.94,4.96,4.86,4.96,4.73,4.92
Heaven,100,1.0,Brooklyn,40.69477104041609,-73.971175219574,Entire home/apt,3,2.0,2 baths,1.0,230.0,3,5.0,5.0,5.0,5.0,4.0,4.67
Anyplace,68,119.0,Manhattan,40.74122,-73.99389,Entire home/apt,2,1.0,1 bath,1.0,281.0,5,5.0,4.8,4.4,4.8,4.8,3.8
Ron,86,1.0,Manhattan,40.74828,-73.9917,Entire home/apt,2,1.0,1 bath,1.0,220.0,153,4.96,4.97,4.92,4.99,4.98,4.86
Veronika,92,3.0,Queens,40.694937672777904,-73.9037485367896,Entire home/apt,4,1.0,1 bath,1.0,160.0,6,5.0,5.0,5.0,5.0,5.0,5.0
Elyse,86,2.0,Queens,40.596597286627286,-73.80298613252377,Private room,2,1.0,1 shared bath,1.0,127.0,3,5.0,5.0,5.0,5.0,5.0,4.67
Urban Furnished,69,357.0,Manhattan,40.7749268,-73.9481632,Entire home/apt,3,1.0,1 bath,0.0,131.0,1,5.0,5.0,4.0,5.0,5.0,4.0
India,100,2.0,Brooklyn,40.70639592773135,-73.91922727900233,Entire home/apt,5,1.0,1 bath,2.0,257.0,15,4.8,4.86,4.79,4.79,4.86,4.71
Ted,95,60.0,Manhattan,40.72828,-73.97978,Entire home/apt,2,1.0,1 bath,1.0,150.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Jonathan,100,5.0,Staten Island,40.63651,-74.08917,Private room,2,1.0,1 private bath,1.0,51.0,37,4.65,4.59,4.62,4.84,4.32,4.54
Diely,97,7.0,Brooklyn,40.62838,-73.92566,Entire home/apt,6,1.0,1 bath,2.0,75.0,22,4.64,4.55,4.82,4.95,4.55,4.55
Ryan,100,4.0,Brooklyn,40.70109,-73.9193,Private room,2,1.0,1 shared bath,1.0,1500.0,10,4.1,4.56,4.0,5.0,4.67,4.78
Fenix,71,28.0,Manhattan,40.7214556,-73.9944242,Entire home/apt,2,1.0,1 bath,1.0,91.0,4,5.0,5.0,4.75,4.75,5.0,4.75
RoomPicks By Victoria,98,8912.0,Manhattan,40.76117177874937,-73.98749227908868,Hotel room,2,1.0,1 bath,1.0,100.0,1,4.0,5.0,5.0,4.0,5.0,5.0
Diara,90,3.0,Brooklyn,40.70105511962361,-73.92601385825935,Entire home/apt,4,1.0,1 bath,2.0,150.0,6,5.0,5.0,4.83,4.67,5.0,5.0
Eduard Gabriel,83,2.0,Bronx,40.86258,-73.89878,Private room,2,1.0,1 shared bath,1.0,91.0,13,4.92,5.0,5.0,5.0,4.92,5.0
Yogi,96,4.0,Brooklyn,40.67518,-73.9111,Entire home/apt,4,1.0,1 bath,2.0,105.0,2,3.0,3.0,3.0,3.0,2.5,3.0
Stella,100,4.0,Manhattan,40.76596,-73.98947,Private room,2,1.0,1 bath,1.0,113.0,39,4.26,4.33,3.85,4.64,4.72,4.26
Tracey,55,8.0,Queens,40.67332625094362,-73.78031550425838,Private room,2,1.0,1 private bath,1.0,83.0,68,4.83,4.9,4.77,4.87,4.74,4.72
Jorge,95,1.0,Brooklyn,40.68413,-73.92309,Entire home/apt,2,1.0,1 bath,1.0,110.0,12,5.0,5.0,5.0,5.0,4.67,5.0
Hudson River,100,26.0,Manhattan,40.755268,-73.997353,Private room,4,1.0,1 private bath,1.0,201.0,13,3.92,4.31,3.85,4.38,4.54,4.08
Jasvir,68,4.0,Queens,40.76216,-73.88219,Entire home/apt,6,1.0,1 bath,2.0,95.0,73,4.45,4.56,4.58,4.56,4.49,4.42
Jeniffer,38,161.0,Manhattan,40.76411,-73.99371,Entire home/apt,3,1.0,1 bath,0.0,85.0,14,4.71,4.93,4.43,4.93,4.57,4.43
Hadar,0,2.0,Brooklyn,40.65352,-73.96186,Entire home/apt,4,1.0,1 bath,2.0,120.0,13,4.31,4.46,3.69,4.77,4.69,4.31
Hansem Stay,99,6.0,Manhattan,40.76749,-73.98491,Entire home/apt,5,1.0,1 bath,2.0,120.0,6,4.83,4.83,4.67,5.0,5.0,4.0
Michael,77,3.0,Brooklyn,40.68305105097518,-73.93355912185035,Entire home/apt,2,1.0,1 bath,1.0,189.0,9,5.0,5.0,5.0,5.0,5.0,4.89
Feginse,100,3.0,Bronx,40.85584544409778,-73.90070501936484,Private room,2,1.0,1 bath,1.0,61.0,43,4.93,4.95,4.91,4.98,4.7,4.93
Tonie,92,1.0,Brooklyn,40.68975,-73.94359,Entire home/apt,6,1.5,1.5 baths,2.0,375.0,86,4.86,4.97,4.86,4.99,4.76,4.83
Amir,65,17.0,Manhattan,40.7567525,-73.9656742,Entire home/apt,2,1.0,1 bath,0.0,110.0,2,4.5,4.5,4.5,5.0,5.0,4.5
Beaubelle,100,1.0,Manhattan,40.719345104975496,-74.01086979886733,Entire home/apt,9,2.0,2 baths,3.0,640.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Valeria,72,10.0,Brooklyn,40.71729,-73.95381,Entire home/apt,4,1.0,1 bath,2.0,170.0,200,4.54,4.68,4.53,4.67,4.95,4.51
Stay With Vibe,74,330.0,Manhattan,40.74003732306674,-73.97895426312797,Entire home/apt,2,1.0,1 bath,1.0,110.0,3,5.0,5.0,5.0,5.0,5.0,4.67
Mohin,97,4.0,Manhattan,40.72224823492312,-73.97740433331978,Entire home/apt,10,1.0,1 bath,3.0,175.0,27,4.52,4.59,4.67,4.59,4.48,4.56
Danielle,63,4.0,Brooklyn,40.71396255493164,-73.95532989501953,Private room,1,1.0,1 private bath,1.0,95.0,3,5.0,5.0,4.67,5.0,4.67,5.0
Ruth,94,39.0,Queens,40.7549,-73.8198,Private room,1,1.0,1 shared bath,1.0,39.0,52,4.77,4.81,4.69,4.81,4.77,4.85
Stanley,95,86.0,Manhattan,40.74826,-73.97709,Entire home/apt,3,1.0,1 bath,1.0,140.0,6,4.83,4.83,4.67,4.83,5.0,4.67
Quality,100,6.0,Queens,40.604,-73.75148,Entire home/apt,2,1.0,1 bath,0.0,100.0,1,4.0,4.0,5.0,5.0,5.0,5.0
Russi,71,14.0,Manhattan,40.74564,-74.00255,Entire home/apt,2,1.0,1 bath,1.0,295.0,6,5.0,5.0,5.0,5.0,5.0,5.0
Success,100,2.0,Brooklyn,40.65074,-73.93102,Private room,1,1.0,1 shared bath,1.0,65.0,8,4.88,4.88,4.88,5.0,4.75,4.88
Jeniffer,90,77.0,Manhattan,40.71818,-73.99534,Entire home/apt,2,1.0,1 bath,0.0,147.0,38,4.76,4.87,4.76,4.71,4.87,4.61
Nesva Hotel,100,15.0,Queens,40.75272,-73.93404,Private room,2,1.0,1 shared bath,1.0,263.0,11,4.0,3.82,4.36,4.18,4.36,4.0
The Frederick Hotel,83,8.0,Manhattan,40.71657,-74.00981,Private room,2,1.0,1 private bath,1.0,582.0,1,4.0,3.0,4.0,5.0,5.0,5.0
Shauna,97,8.0,Brooklyn,40.60281927117305,-73.99594826100589,Private room,2,2.0,2 baths,1.0,200.0,14,4.93,4.93,4.79,5.0,4.93,4.79
David,100,97.0,Queens,40.7786378,-73.9072683,Private room,2,2.0,2 shared baths,1.0,50.0,20,4.85,5.0,4.55,5.0,4.9,4.9
Tristan,100,5.0,Queens,40.76374,-73.90884,Entire home/apt,6,2.0,2 baths,3.0,125.0,185,4.41,4.51,3.97,4.86,4.64,4.51
María Del Carmen,40,1.0,Brooklyn,40.71561982184664,-73.96636679033364,Entire home/apt,4,1.0,1 bath,1.0,440.0,2,5.0,5.0,4.5,5.0,5.0,4.5
Court,100,6.0,Queens,40.66331,-73.81327,Private room,2,2.0,2 baths,3.0,407.0,13,4.08,4.08,4.92,4.54,4.31,4.23
Haydee,59,3.0,Brooklyn,40.64158,-74.01115,Private room,2,1.0,1 bath,1.0,120.0,117,4.72,4.85,4.87,4.66,4.59,4.7
Gisele,100,37.0,Manhattan,40.76235,-73.9614,Entire home/apt,4,1.0,1 bath,2.0,125.0,7,4.71,5.0,4.29,4.86,4.86,4.57
Shanna-Lee,100,3.0,Queens,40.65354,-73.74365,Entire home/apt,2,1.0,1 bath,1.0,125.0,27,4.74,4.85,4.96,4.74,4.7,4.63
Hadiza,91,2.0,Manhattan,40.79247621273738,-73.93845615880652,Entire home/apt,4,1.0,1 bath,1.0,115.0,30,4.57,4.8,4.27,4.9,4.67,4.73
Eliana,64,3.0,Queens,40.76491,-73.91843,Private room,2,1.0,1 shared bath,1.0,101.0,11,4.82,4.91,4.91,5.0,4.91,4.73
Michael,52,164.0,Manhattan,40.76593738229668,-73.98409595771311,Entire home/apt,4,1.0,1 bath,2.0,107.0,1,2.0,1.0,1.0,1.0,4.0,1.0
Kennedy,100,3.0,Queens,40.754854190040014,-73.8035882014206,Entire home/apt,6,2.0,2 baths,2.0,198.0,175,4.8,4.8,4.8,4.93,4.76,4.77
Sandra,60,1.0,Bronx,40.86764,-73.85626,Entire home/apt,3,1.0,1 bath,3.0,185.0,13,5.0,4.92,5.0,5.0,4.69,4.92
PIMG Housing,98,13.0,Manhattan,40.79394,-73.97205,Entire home/apt,5,1.0,1 bath,3.0,370.0,7,4.57,4.71,4.43,4.86,4.86,4.71
Boomerang,99,59.0,Manhattan,40.739386,-73.9969947,Entire home/apt,4,1.0,1 bath,1.0,223.0,2,5.0,5.0,5.0,5.0,5.0,4.0
Anibal,100,6.0,Queens,40.74192,-73.91214,Private room,4,1.0,1 shared bath,1.0,66.0,125,4.82,4.76,4.68,4.84,4.84,4.72
