host_name,host_acceptance_rate,host_total_listings_count,neighbourhood,neighbourhood_group,latitude,longitude,room_type,max_capacity,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,rating,accuracy,cleanliness,communication,location,value
Annushka,100,8.0,Jamaica,Queens,40.68413,-73.79642,Private room,2,1.0,1 bath,1.0,100.0,75,4.81,4.87,4.93,4.92,4.72,4.88
Danielle,63,4.0,Williamsburg,Brooklyn,40.71392440795898,-73.95526123046875,Private room,1,1.0,1 private bath,1.0,89.0,8,5.0,5.0,5.0,5.0,4.75,4.88
A.B.,85,11.0,Midtown,Manhattan,40.75675,-73.96653,Entire home/apt,2,1.0,1 bath,1.0,499.0,29,4.5,4.45,4.0,4.93,4.86,4.5
Bruce,100,6.0,Bay Ridge,Brooklyn,40.62085,-74.02327,Entire home/apt,2,1.0,1 bath,3.0,200.0,54,4.85,4.89,4.72,4.93,4.74,4.81
Keenen,100,49.0,Williamsburg,Brooklyn,40.70206305248446,-73.93921326403684,Entire home/apt,5,2.0,2 baths,3.0,350.0,4,4.25,3.75,4.75,4.5,4.5,4.5
Jeruschka,100,1.0,Windsor Terrace,Brooklyn,40.64914965918961,-73.97888700817028,Entire home/apt,2,1.0,1 bath,1.0,107.0,332,4.71,4.67,4.83,4.94,4.71,4.62
Muhammad,100,1.0,Flatlands,Brooklyn,40.625,-73.92799,Private room,1,1.0,1 bath,1.0,40.0,36,4.5,4.78,4.22,4.89,4.78,4.75
Vincent,88,5.0,Jackson Heights,Queens,40.75112169060736,-73.8917927052177,Private room,2,1.0,1 shared bath,1.0,85.0,9,5.0,4.89,4.89,5.0,4.89,5.0
Marcos,57,2.0,Astoria,Queens,40.75751,-73.92058,Private room,2,1.0,1 shared bath,1.0,105.0,17,4.82,4.76,4.76,4.94,4.76,4.94
Steven,88,7.0,Inwood,Manhattan,40.86088,-73.92914,Private room,2,1.0,1 shared bath,1.0,95.0,14,5.0,4.93,4.79,5.0,4.64,4.71
Yovel,100,45.0,Midwood,Brooklyn,40.61673,-73.97093,Entire home/apt,1,1.0,1 bath,1.0,77.0,5,5.0,5.0,5.0,5.0,4.8,5.0
Ari,78,2.0,East Village,Manhattan,40.72544,-73.9805,Private room,2,1.0,1 private bath,2.0,463.0,140,4.87,4.88,4.76,4.94,4.79,4.73
Paradise Suites,43,41.0,Upper East Side,Manhattan,40.75884,-73.95945,Entire home/apt,4,2.0,2 baths,2.0,219.0,10,4.3,4.1,4.0,4.5,4.5,4.0
Idelsa,96,1.0,Mott Haven,Bronx,40.81132,-73.92177,Entire home/apt,4,1.0,1 bath,1.0,125.0,110,4.87,4.85,4.85,4.95,4.65,4.81
Gennady + Laura,46,2.0,Manhattan Beach,Brooklyn,40.57871,-73.94002,Entire home/apt,4,1.0,1 bath,1.0,48.0,138,4.75,4.81,4.83,4.91,4.65,4.79
Yuval,94,6.0,Prospect Heights,Brooklyn,40.67296,-73.96288,Private room,2,1.0,1 shared bath,1.0,79.0,314,4.81,4.9,4.69,4.88,4.91,4.82
Bushwick Art Studios,73,4.0,Bushwick,Brooklyn,40.69869,-73.92557,Private room,2,2.0,2 shared baths,1.0,80.0,11,4.64,4.55,4.55,4.91,4.64,4.36
Edgar,100,2.0,Clinton Hill,Brooklyn,40.69602,-73.96182,Private room,2,1.0,1 shared bath,1.0,80.0,390,4.91,4.94,4.88,4.95,4.67,4.87
Julianna,100,15.0,East Harlem,Manhattan,40.79398,-73.9457,Private room,2,1.0,1 shared bath,1.0,72.0,8,4.56,4.67,4.44,4.67,4.22,4.56
Mutale,88,3.0,Fort Greene,Brooklyn,40.69404,-73.974,Entire home/apt,4,1.0,1 bath,2.0,210.0,98,4.63,4.78,4.56,4.86,4.76,4.61
Bugra Han,96,81.0,Midtown,Manhattan,40.75440031526361,-73.98204065088868,Private room,4,1.0,1 private bath,2.0,168.0,29,4.41,4.24,4.72,4.72,5.0,4.34
Jeannine,93,1.0,Flatbush,Brooklyn,40.63408,-73.96243,Entire home/apt,5,1.0,1 bath,2.0,164.0,112,4.89,4.89,4.98,4.98,4.86,4.8
Stanley,95,86.0,Murray Hill,Manhattan,40.74926,-73.97643,Entire home/apt,1,1.0,1 bath,0.0,120.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Oyo,99,6.0,Theater District,Manhattan,40.759125,-73.983765,Private room,4,1.0,1 private bath,1.0,261.0,159,4.18,4.13,4.29,4.65,4.86,4.07
Ali,88,30.0,Flushing,Queens,40.75761,-73.80804,Entire home/apt,8,2.0,2 baths,3.0,178.0,5,5.0,5.0,5.0,5.0,4.75,4.25
Ali,88,30.0,Flushing,Queens,40.75748,-73.8095,Entire home/apt,6,2.0,2 baths,3.0,155.0,44,4.64,4.68,4.75,4.61,4.66,4.5
Elizabeth,82,20.0,Murray Hill,Manhattan,40.74792,-73.98198,Private room,2,1.0,1 private bath,1.0,425.0,15,5.0,5.0,5.0,5.0,5.0,4.87
Veki,100,1.0,Upper East Side,Manhattan,40.76343,-73.96578,Private room,2,1.0,1 shared bath,1.0,128.0,136,4.91,4.93,4.91,4.99,4.96,4.8
Birgitta,71,4.0,Park Slope,Brooklyn,40.67597,-73.97765,Entire home/apt,3,1.0,1 bath,1.0,180.0,175,4.85,4.9,4.76,4.93,4.98,4.78
JT Urban,60,84.0,Upper East Side,Manhattan,40.77026,-73.95854,Entire home/apt,6,1.0,1 bath,3.0,250.0,5,5.0,5.0,4.8,5.0,5.0,4.6
Golsana,70,2.0,Williamsburg,Brooklyn,40.70741,-73.94336,Entire home/apt,2,1.0,1 bath,0.0,260.0,32,4.81,4.88,4.69,4.94,4.78,4.75
Jeniffer,90,77.0,Chinatown,Manhattan,40.71841,-73.99573,Entire home/apt,2,1.0,1 bath,1.0,250.0,3,5.0,5.0,5.0,4.67,5.0,5.0
Guirlaine,93,3.0,Harlem,Manhattan,40.81842012159541,-73.94309208037893,Entire home/apt,2,1.0,1 bath,0.0,85.0,25,4.88,5.0,4.85,4.96,4.85,4.88
Rodrigo,82,1.0,Greenwich Village,Manhattan,40.72839,-73.99954,Entire home/apt,2,1.0,1 bath,0.0,114.0,13,4.54,4.54,4.69,4.77,4.85,4.38
Ishmael,100,6.0,Jamaica,Queens,40.6776319,-73.79027880000001,Entire home/apt,1,1.0,1 bath,2.0,105.0,50,4.58,4.5,4.56,4.96,4.46,4.54
The Collective Paper Factory Hotel,98,7.0,Long Island City,Queens,40.75224,-73.92871,Private room,2,1.0,1 private bath,1.0,238.0,3,4.33,4.0,4.0,4.0,5.0,3.33
Dina,33,2.0,Astoria,Queens,40.7609688,-73.91774339999999,Private room,2,1.5,1.5 shared baths,1.0,85.0,3,5.0,5.0,5.0,5.0,5.0,4.67
Julia,50,1.0,Williamsburg,Brooklyn,40.71164,-73.96108,Entire home/apt,2,1.0,1 bath,1.0,150.0,24,4.48,4.63,4.5,4.58,4.65,4.48
Delia,100,1.0,Harlem,Manhattan,40.80285928465921,-73.9581490595645,Entire home/apt,4,1.5,1.5 baths,2.0,380.0,1,5.0,5.0,4.0,5.0,5.0,5.0
Jeniffer,38,161.0,Hell's Kitchen,Manhattan,40.76411,-73.99371,Entire home/apt,3,1.0,1 bath,0.0,90.0,15,4.6,4.8,4.8,4.6,4.47,4.27
Amine,77,3.0,East Flatbush,Brooklyn,40.63349,-73.94547,Entire home/apt,5,1.0,1 bath,2.0,79.0,31,4.97,4.94,4.97,5.0,4.42,4.81
Massara,86,2.0,East Harlem,Manhattan,40.8015,-73.93711,Entire home/apt,2,1.5,1.5 baths,1.0,150.0,39,4.78,4.85,4.83,4.88,4.43,4.88
Jency,90,4.0,Cypress Hills,Brooklyn,40.687538604936016,-73.87562761694524,Shared room,2,1.0,1 shared bath,0.0,120.0,44,4.98,4.95,4.95,4.95,4.64,4.95
Jeniffer,38,161.0,Hell's Kitchen,Manhattan,40.76385,-73.98963,Entire home/apt,2,1.0,1 bath,1.0,100.0,2,5.0,5.0,5.0,5.0,5.0,5.0
Stellamaris,82,7.0,Williamsbridge,Bronx,40.876955170157416,-73.85623522102833,Private room,2,1.0,1 shared bath,1.0,60.0,13,4.85,4.92,4.85,4.77,4.77,4.69
Criss,98,7.0,Parkchester,Bronx,40.830412,-73.87658809999999,Private room,2,1.0,1 private bath,1.0,74.0,13,4.62,4.62,4.77,5.0,4.69,4.85
Pavindra,94,3.0,Bedford-Stuyvesant,Brooklyn,40.679695853903134,-73.90706773401382,Private room,2,3.0,3 baths,1.0,60.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Brendan,83,4.0,Bushwick,Brooklyn,40.68837,-73.91453,Entire home/apt,12,2.5,2.5 baths,5.0,299.0,19,4.53,4.42,4.32,4.47,4.47,4.47
Carlene,99,21.0,Bedford-Stuyvesant,Brooklyn,40.69283,-73.94529,Private room,1,1.0,1 shared bath,1.0,31.0,98,4.82,4.9,4.97,4.86,4.7,4.8
Nico,100,6.0,Harlem,Manhattan,40.80067,-73.95534,Private room,1,2.0,2 shared baths,1.0,57.0,8,4.88,4.75,4.63,5.0,4.63,4.63
Ana,100,1.0,Inwood,Manhattan,40.86884,-73.92521,Entire home/apt,5,1.0,1 bath,2.0,203.0,3,4.67,4.67,5.0,4.67,5.0,4.67
Qing,100,1.0,Borough Park,Brooklyn,40.613976,-73.981087,Private room,1,1.0,1 private bath,1.0,81.0,25,4.88,4.96,5.0,4.96,4.6,4.68
Edward,98,6.0,Bedford-Stuyvesant,Brooklyn,40.68476,-73.94867,Private room,2,1.0,1 shared bath,1.0,49.0,27,4.75,4.81,4.59,4.7,4.52,4.67
Central Park Apartments,65,49.0,Upper West Side,Manhattan,40.79673,-73.96255,Entire home/apt,2,1.0,1 bath,0.0,89.0,6,4.33,4.33,4.33,4.5,4.17,4.5
Marshawn,97,3.0,East Elmhurst,Queens,40.76298,-73.86181,Private room,2,1.0,1 private bath,1.0,328.0,106,4.91,4.94,4.92,4.92,4.87,4.82
Hendrix JY,100,4.0,East New York,Brooklyn,40.67559,-73.89027,Entire home/apt,4,2.0,2 baths,2.0,139.0,161,4.71,4.75,4.84,4.88,4.4,4.76
René,50,1.0,SoHo,Manhattan,40.72701,-74.00872,Entire home/apt,2,1.0,1 bath,0.0,170.0,79,4.96,4.94,4.94,4.99,4.91,4.84
Joseph & Teresa,100,3.0,East New York,Brooklyn,40.67134,-73.87862,Entire home/apt,4,1.0,1 bath,1.0,89.0,231,4.74,4.84,4.75,4.96,4.66,4.77
Stephanie,100,2.0,Fort Hamilton,Brooklyn,40.6225,-74.031,Entire home/apt,5,1.0,1 bath,2.0,220.0,114,4.88,4.92,4.88,4.9,4.74,4.83
Xiaobo,100,1.0,Flushing,Queens,40.7537167,-73.8322803,Entire home/apt,3,1.0,1 bath,1.0,128.0,1,5.0,5.0,5.0,5.0,5.0,5.0
The Local Stay,81,78.0,Upper East Side,Manhattan,40.78152,-73.94749,Entire home/apt,4,1.0,1 bath,2.0,105.0,4,4.5,4.75,3.75,5.0,4.75,4.5
Obed,71,7.0,Fort Greene,Brooklyn,40.69076,-73.97244,Entire home/apt,2,1.0,1 bath,1.0,135.0,108,4.96,4.94,4.88,4.98,4.99,4.91
Norbert,97,11.0,Coney Island,Brooklyn,40.57735041067477,-73.98281964134432,Private room,2,2.0,2 shared baths,1.0,90.0,19,5.0,5.0,5.0,4.95,4.95,4.89
Tyler,92,2.0,St. Albans,Queens,40.69589,-73.76083,Private room,2,1.5,1.5 shared baths,1.0,63.0,18,4.72,4.67,4.78,4.67,4.72,4.67
Tamara,25,1.0,North Riverdale,Bronx,40.90341,-73.90199,Entire home/apt,2,1.0,1 bath,1.0,130.0,46,5.0,4.98,4.96,5.0,4.96,4.98
Emmory,100,8.0,Murray Hill,Manhattan,40.74853,-73.97632,Private room,2,1.0,1 shared bath,1.0,164.0,96,4.93,4.91,4.81,4.99,4.96,4.89
Lizeth,100,1.0,Gravesend,Brooklyn,40.6023553,-73.9902915,Private room,2,1.0,1 private bath,1.0,100.0,19,4.58,4.58,4.53,4.79,4.68,4.53
Elle,100,3.0,Sunset Park,Brooklyn,40.65067,-73.99913,Entire home/apt,6,1.0,1 bath,4.0,241.0,167,4.86,4.84,4.88,4.87,4.82,4.87
David,100,97.0,Ditmars Steinway,Queens,40.7786378,-73.9072683,Private room,2,2.0,2 shared baths,1.0,50.0,20,4.85,5.0,4.55,5.0,4.9,4.9
Cynthia,95,3.0,Bedford-Stuyvesant,Brooklyn,40.68603,-73.92859,Entire home/apt,3,1.0,1 bath,1.0,102.0,17,4.94,4.94,4.88,5.0,4.88,4.94
Anna,98,5.0,Midtown,Manhattan,40.74636,-73.9885,Entire home/apt,4,1.0,1 bath,1.0,214.0,9,4.78,4.78,4.78,4.89,5.0,4.33
Hiroki,88,372.0,Woodside,Queens,40.74256,-73.90277,Private room,2,2.0,2 shared baths,1.0,38.0,7,4.71,4.86,4.43,4.86,4.86,4.86
Indranie,100,1.0,Rosedale,Queens,40.6598,-73.72981,Private room,2,1.0,1 private bath,0.0,145.0,21,4.95,4.73,4.91,5.0,4.86,4.86
Elisha,100,3.0,Flatbush,Brooklyn,40.63538,-73.96554,Entire home/apt,4,1.0,1 bath,2.0,130.0,32,4.91,4.97,4.91,5.0,5.0,4.75
Oyo,99,6.0,Theater District,Manhattan,40.759125,-73.983765,Private room,2,1.0,1 private bath,1.0,214.0,30,4.1,4.03,4.27,4.47,4.8,3.87
Beryl,100,1.0,Jamaica,Queens,40.67328,-73.777483,Entire home/apt,8,2.0,2 baths,3.0,250.0,21,4.62,4.71,4.43,4.81,4.62,4.38
Maria,75,1.0,Prospect Heights,Brooklyn,40.6794,-73.97368,Entire home/apt,4,1.0,1 bath,2.0,225.0,8,4.63,4.63,4.63,5.0,5.0,4.5
Kevin,25,1.0,Washington Heights,Manhattan,40.83764750360981,-73.94437285892074,Private room,2,1.0,1 private bath,1.0,158.0,2,5.0,4.5,5.0,5.0,5.0,4.5
Giovanni,100,1.0,Flushing,Queens,40.7463878,-73.8306721,Private room,2,1.0,1 private bath,1.0,110.0,66,4.95,4.95,4.94,4.98,4.86,4.92
Mike,91,5.0,Astoria,Queens,40.76771,-73.93076,Entire home/apt,4,1.0,1 bath,2.0,275.0,7,5.0,5.0,5.0,5.0,4.43,4.71
Grisel,9,3.0,Hell's Kitchen,Manhattan,40.76119,-73.99225,Private room,2,0.0,0 shared baths,1.0,100.0,22,4.95,4.77,4.68,4.91,4.86,4.68
Casey,97,13.0,Bedford-Stuyvesant,Brooklyn,40.6803,-73.94927,Entire home/apt,3,1.0,1 bath,1.0,209.0,9,4.44,4.56,4.22,4.78,3.78,4.22
Joanne,100,1.0,Park Slope,Brooklyn,40.66724,-73.98025,Entire home/apt,2,1.0,1 bath,1.0,99.0,37,4.89,4.92,4.81,5.0,4.97,4.81
Paula,100,4.0,Hell's Kitchen,Manhattan,40.76652,-73.98488,Private room,2,1.0,1 shared bath,1.0,142.0,73,4.68,4.64,4.73,4.92,4.9,4.63
Delphine,50,2.0,Long Island City,Queens,40.746361078306734,-73.94705917686224,Entire home/apt,4,1.5,1.5 baths,3.0,320.0,9,5.0,4.89,4.89,5.0,5.0,4.78
Jack,99,3.0,Lower East Side,Manhattan,40.71424,-73.98639,Private room,2,1.0,1 shared bath,1.0,89.0,261,4.67,4.67,4.5,4.84,4.66,4.64
Marley,60,5.0,Springfield Gardens,Queens,40.66012,-73.76298,Private room,1,1.0,1 shared bath,1.0,65.0,3,5.0,5.0,5.0,5.0,4.33,4.67
Ivann,100,2.0,Long Island City,Queens,40.74768482711784,-73.92406812676047,Private room,2,1.0,1 shared bath,1.0,99.0,42,4.62,4.86,4.64,4.74,4.81,4.62
Rove,88,94.0,Williamsburg,Brooklyn,40.71798086423485,-73.95187240100303,Entire home/apt,8,3.5,3.5 baths,3.0,528.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Tony,100,8.0,East Elmhurst,Queens,40.75814,-73.89974,Private room,1,1.0,1 private bath,1.0,46.0,4,3.5,3.75,3.5,4.0,4.0,3.5
Nina,60,23.0,Clinton Hill,Brooklyn,40.686916439936425,-73.96027552715685,Entire home/apt,2,1.0,1 bath,0.0,115.0,4,5.0,5.0,5.0,5.0,5.0,5.0
Rove,88,94.0,Upper East Side,Manhattan,40.76330561797924,-73.96607592660432,Entire home/apt,8,3.0,3 baths,3.0,471.0,2,5.0,5.0,5.0,4.5,4.5,5.0
Urban Furnished,49,77.0,Upper East Side,Manhattan,40.76022,-73.95959,Entire home/apt,5,1.0,1 bath,2.0,178.0,19,4.74,4.79,4.68,4.84,4.74,4.74
Marisol,87,1.0,South Ozone Park,Queens,40.6718907259417,-73.80901108353392,Entire home/apt,4,1.0,1 bath,2.0,151.0,18,4.83,4.83,4.94,5.0,4.89,4.89
Nicholas,100,1.0,Theater District,Manhattan,40.76252551109945,-73.9823823735193,Entire home/apt,2,1.0,1 bath,1.0,250.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Hiroki,88,372.0,Jackson Heights,Queens,40.75048,-73.89541,Private room,2,1.0,1 bath,1.0,38.0,1,5.0,5.0,5.0,5.0,5.0,3.0
Ebenezer,100,1.0,Mariners Harbor,Staten Island,40.62953570173384,-74.15722342533789,Private room,2,1.0,1 private bath,1.0,77.0,81,4.83,4.88,4.83,4.88,4.74,4.81
Ade,100,2.0,East New York,Brooklyn,40.66861,-73.89059,Entire home/apt,2,1.0,1 bath,2.0,119.0,23,4.83,4.78,4.91,4.96,4.57,4.83
Charlie,95,4.0,Bayside,Queens,40.77448,-73.77573,Private room,2,1.0,1 private bath,1.0,125.0,4,5.0,5.0,5.0,5.0,5.0,4.75
Miranda,100,4.0,Financial District,Manhattan,40.70809,-74.00481,Private room,2,1.0,1 shared bath,1.0,115.0,104,4.65,4.63,4.38,4.84,4.95,4.57
Joseph,77,28.0,Belmont,Bronx,40.85392200133008,-73.88496372290676,Entire home/apt,3,1.0,1 bath,2.0,85.0,1,5.0,5.0,5.0,5.0,5.0,5.0
J-,16,2.0,Sunnyside,Queens,40.74665,-73.91936,Private room,1,1.0,1 shared bath,1.0,100.0,7,5.0,5.0,5.0,4.86,5.0,5.0
Desmond,95,3.0,Lower East Side,Manhattan,40.71989,-73.99163,Private room,1,1.0,1 shared bath,1.0,64.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Saral,0,9.0,Crown Heights,Brooklyn,40.67513,-73.95936,Entire home/apt,2,1.0,1 bath,1.0,98.0,4,5.0,5.0,4.5,5.0,5.0,4.5
Chrissy,95,8.0,Park Slope,Brooklyn,40.66616,-73.97946,Entire home/apt,2,1.0,1 bath,0.0,225.0,147,4.95,4.98,4.84,4.93,4.98,4.82
Barry,98,14.0,Pelham Gardens,Bronx,40.86677,-73.84056,Private room,1,1.0,1 shared bath,1.0,40.0,253,4.87,4.9,4.92,4.88,4.8,4.9
Ellen,100,1.0,Riverdale,Bronx,40.89041,-73.91171,Private room,1,1.0,1 private bath,1.0,73.0,2,5.0,4.5,5.0,5.0,4.5,4.5
Dorrett,98,1.0,Flatlands,Brooklyn,40.61943,-73.92696,Private room,2,1.0,1 shared bath,1.0,95.0,44,4.59,4.66,4.77,4.89,4.52,4.59
Marvelous Travel,99,4.0,Financial District,Manhattan,40.70386,-74.00962,Entire home/apt,6,1.0,1 bath,2.0,529.0,11,4.27,4.18,4.45,4.91,4.82,4.55
Jin Ting,100,2.0,Flushing,Queens,40.75579,-73.82792,Private room,1,1.0,1 shared bath,1.0,105.0,46,4.91,4.91,4.91,4.87,4.91,4.84
Alex,99,11.0,Harlem,Manhattan,40.80315,-73.95622,Private room,2,1.0,1 shared bath,1.0,95.0,156,4.86,4.85,4.6,4.88,4.79,4.84
Tyrone,100,3.0,Bedford-Stuyvesant,Brooklyn,40.68834,-73.95842,Private room,2,1.0,1 bath,2.0,350.0,124,4.94,4.96,4.98,4.95,4.86,4.85
Vincenco,100,4.0,Upper East Side,Manhattan,40.76953700000001,-73.95924769999999,Entire home/apt,7,1.0,1 bath,3.0,429.0,2,5.0,5.0,5.0,5.0,5.0,4.5
Dorina,85,5.0,Middle Village,Queens,40.71681027597294,-73.88226988996738,Private room,2,1.5,1.5 baths,2.0,135.0,188,4.94,4.98,4.97,4.92,4.83,4.94
Stanley,95,86.0,Murray Hill,Manhattan,40.74826,-73.97709,Entire home/apt,3,1.0,1 bath,1.0,140.0,6,4.83,4.83,4.67,4.83,5.0,4.67
Jude,100,12.0,Harlem,Manhattan,40.8174733,-73.94419090000001,Entire home/apt,7,1.0,1 bath,3.0,279.0,39,4.85,4.9,4.87,4.92,4.69,4.74
Ali,63,88.0,SoHo,Manhattan,40.725895419918345,-73.9990082669769,Entire home/apt,2,1.0,1 bath,1.0,699.0,2,5.0,5.0,4.5,5.0,5.0,4.5
Meraj,95,14.0,Elmhurst,Queens,40.744454,-73.88935099999999,Entire home/apt,4,1.0,1 bath,0.0,149.0,41,4.88,4.78,4.8,4.93,4.71,4.68
Amiee,100,9.0,Two Bridges,Manhattan,40.7127,-73.99711,Private room,4,1.0,1 shared bath,1.0,175.0,243,4.48,4.71,4.78,4.74,4.55,4.54
Lisa,100,10.0,Upper West Side,Manhattan,40.78473,-73.97098,Entire home/apt,10,1.0,1 bath,2.0,245.0,7,4.29,5.0,4.71,4.86,4.86,4.29
Deborah,90,9.0,Clinton Hill,Brooklyn,40.69318,-73.96778,Private room,2,3.5,3.5 shared baths,5.0,300.0,76,4.53,4.66,4.59,4.71,4.88,4.54
Colm,10,1.0,Nolita,Manhattan,40.72145,-73.99555,Entire home/apt,4,1.0,1 bath,2.0,629.0,2,5.0,5.0,5.0,5.0,5.0,4.5
Ismail,100,2.0,Sunnyside,Queens,40.74153,-73.92666,Private room,2,1.0,1 private bath,1.0,69.0,119,4.86,4.92,4.73,4.98,4.93,4.83
Tashi,100,2.0,Jackson Heights,Queens,40.75106,-73.89411,Entire home/apt,4,1.0,1 bath,1.0,99.0,204,4.59,4.8,4.58,4.8,4.76,4.66
Neil,100,1.0,Williamsburg,Brooklyn,40.70982,-73.95876,Entire home/apt,4,1.0,1 bath,2.0,198.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Aka Times Square,100,18.0,Theater District,Manhattan,40.75579,-73.98515,Entire home/apt,2,1.0,1 bath,1.0,405.0,1,4.0,4.0,3.0,4.0,5.0,5.0
Aicha,57,2.0,East New York,Brooklyn,40.6710219350369,-73.89194728804355,Entire home/apt,2,1.0,1 bath,1.0,79.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Dr.Julien,52,91.0,Bushwick,Brooklyn,40.70498,-73.91896,Private room,1,1.0,1 shared bath,1.0,61.0,7,4.86,4.86,4.57,4.57,4.86,4.71
Andy,78,2.0,Flatbush,Brooklyn,40.63667,-73.96685,Entire home/apt,8,2.0,2 baths,4.0,400.0,125,4.94,4.96,4.88,4.99,4.94,4.83
Amara,29,3.0,Long Island City,Queens,40.74208,-73.95993,Private room,2,1.0,1 shared bath,1.0,180.0,2,5.0,5.0,5.0,5.0,4.0,4.0
Philip,100,3.0,Windsor Terrace,Brooklyn,40.65896563633096,-73.9807492695747,Private room,2,1.0,1 private bath,1.0,215.0,20,4.95,4.9,4.95,4.9,4.95,4.8
Talib,100,4.0,Harlem,Manhattan,40.82163,-73.94832,Entire home/apt,3,2.0,2 baths,2.0,150.0,123,4.84,4.9,4.93,4.94,4.63,4.82
Jon,37,2.0,Grant City,Staten Island,40.57877,-74.11005,Entire home/apt,2,1.0,1 bath,1.0,160.0,21,4.62,4.52,4.76,4.95,5.0,4.48
Steven,98,5.0,Gravesend,Brooklyn,40.59991083254904,-73.97356196964137,Entire home/apt,5,1.0,1 bath,1.0,158.0,39,5.0,5.0,5.0,5.0,4.9,4.95
Holly,46,4.0,Park Slope,Brooklyn,40.67144,-73.97994,Entire home/apt,5,1.0,1 bath,3.0,600.0,17,4.88,4.88,4.94,5.0,5.0,4.53
Amelia,93,1.0,Park Slope,Brooklyn,40.67165,-73.98635,Entire home/apt,3,1.0,1 bath,2.0,243.0,88,4.93,4.98,4.91,4.97,4.98,4.78
Louise,94,2.0,East Flatbush,Brooklyn,40.65387,-73.92602,Private room,1,1.0,1 private bath,1.0,72.0,12,5.0,5.0,5.0,4.92,4.62,4.77
Sebastian,98,3.0,Bedford-Stuyvesant,Brooklyn,40.68963000733893,-73.93367223234823,Entire home/apt,2,2.5,2.5 baths,2.0,219.0,35,4.97,4.97,4.97,5.0,4.49,4.91
Momoyo,80,299.0,Elmhurst,Queens,40.73865245962858,-73.87982462365419,Private room,2,1.0,1 private bath,1.0,43.0,1,3.0,4.0,4.0,5.0,5.0,3.0
Sofia & Leah,97,9.0,Hell's Kitchen,Manhattan,40.75901,-73.99041,Private room,2,1.0,1 shared bath,1.0,118.0,100,4.87,4.91,4.8,4.96,4.94,4.73
Lexia,100,6.0,East Flatbush,Brooklyn,40.6615,-73.9294,Entire home/apt,4,1.5,1.5 baths,3.0,124.0,8,4.63,5.0,4.88,4.75,4.25,4.38
Stephanie,17,4.0,East Flatbush,Brooklyn,40.66304,-73.92507,Private room,1,1.0,1 shared bath,1.0,79.0,7,4.86,5.0,5.0,5.0,4.0,4.71
Camille,95,9.0,SoHo,Manhattan,40.72727923099717,-74.00443312437385,Entire home/apt,1,1.0,1 bath,1.0,124.0,10,4.8,4.5,4.7,5.0,5.0,4.5
Momoyo,80,299.0,Williamsburg,Brooklyn,40.70401,-73.94213,Private room,2,1.0,1 shared bath,1.0,73.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Claudia,50,4.0,Astoria,Queens,40.75715,-73.91459,Private room,1,1.0,1 shared bath,1.0,50.0,2,4.0,4.0,4.0,4.5,5.0,4.0
Marzena,99,4.0,Ridgewood,Queens,40.70823,-73.90525,Entire home/apt,2,1.0,1 bath,1.0,80.0,92,4.91,4.95,4.89,4.85,4.77,4.85
Miguel,100,3.0,Kingsbridge,Bronx,40.8632,-73.90721,Private room,1,1.0,1 private bath,1.0,65.0,3,3.67,3.0,3.67,5.0,4.0,3.67
Maria,77,20.0,Grant City,Staten Island,40.579,-74.1102,Private room,1,1.0,1 shared bath,1.0,36.0,7,5.0,5.0,5.0,5.0,5.0,4.86
Eleanor,100,1.0,South Slope,Brooklyn,40.66848,-73.98771,Entire home/apt,4,1.0,1 bath,2.0,113.0,126,4.67,4.72,4.75,4.9,4.88,4.57
Eddie,57,1.0,Brownsville,Brooklyn,40.6748,-73.906,Private room,2,1.0,1 shared bath,1.0,95.0,19,4.47,4.67,4.53,4.84,4.11,4.33
Selena,100,4.0,Long Island City,Queens,40.75339,-73.92399,Entire home/apt,6,1.0,1 bath,3.0,221.0,29,4.83,4.97,4.97,4.86,4.72,4.76
Jay,100,9.0,Carroll Gardens,Brooklyn,40.68034,-73.99804,Entire home/apt,3,1.0,1 bath,1.0,148.0,1,5.0,5.0,4.0,4.0,5.0,5.0
Amer,100,1.0,Mariners Harbor,Staten Island,40.63062858578947,-74.15551111583018,Entire home/apt,2,1.0,1 bath,1.0,99.0,143,4.92,4.94,4.93,5.0,4.81,4.94
The Wall Street Inn,96,8.0,Financial District,Manhattan,40.7046445,-74.01031929999999,Private room,5,1.0,1 private bath,1.0,361.0,10,4.9,4.8,4.6,4.6,4.9,4.7
Hiroki,88,372.0,Woodside,Queens,40.74463,-73.89393,Private room,2,1.0,1 shared bath,1.0,33.0,4,4.25,4.0,3.5,4.75,4.5,4.25
Wendy,83,1.0,Lower East Side,Manhattan,40.72381,-73.99257,Entire home/apt,4,1.0,1 bath,2.0,450.0,27,4.63,4.63,4.7,4.59,4.96,4.37
Kaylen,100,1.0,Williamsbridge,Bronx,40.8795069,-73.863075,Entire home/apt,3,1.0,1 bath,1.0,190.0,1,5.0,5.0,5.0,5.0,5.0,5.0
