host_name,host_acceptance_rate,host_total_listings_count,neighbourhood,neighbourhood_group,latitude,longitude,room_type,max_capacity,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,rating,accuracy,cleanliness,communication,location,value
Laine,100,2.0,Columbia St,Brooklyn,40.68407,-74.00415,Entire home/apt,4,2.0,2 baths,2.0,300.0,4,4.5,4.5,4.5,5.0,4.5,4.75
Maria,100,2.0,Bushwick,Brooklyn,40.68788,-73.90799,Private room,2,1.0,1 private bath,1.0,129.0,79,4.76,4.77,4.8,4.82,4.56,4.66
Rebecca,92,3.0,Flushing,Queens,40.75713694266302,-73.81348864217891,Private room,3,1.0,1 shared bath,0.0,121.0,3,4.67,4.67,5.0,5.0,5.0,5.0
Jing,79,10.0,Hell's Kitchen,Manhattan,40.759541559555664,-73.99494853207966,Private room,2,1.0,1 bath,1.0,400.0,4,5.0,4.75,4.75,4.75,5.0,4.75
Aneisha,100,3.0,Crown Heights,Brooklyn,40.67687,-73.92505,Private room,1,1.0,1 private bath,1.0,48.0,3,5.0,5.0,5.0,5.0,5.0,5.0
Autumn,100,3.0,Clinton Hill,Brooklyn,40.69341,-73.96319,Private room,2,1.0,1 shared bath,1.0,81.0,183,4.68,4.84,4.65,4.84,4.58,4.66
Mo,83,5.0,Queens Village,Queens,40.72271,-73.73588,Entire home/apt,2,1.0,1 bath,1.0,100.0,11,4.91,5.0,4.91,5.0,4.82,4.73
Jose,100,2.0,Bushwick,Brooklyn,40.68983,-73.91464,Private room,2,1.0,1 bath,0.0,109.0,175,4.82,4.88,4.86,4.81,4.71,4.73
Noelky,100,1.0,Crown Heights,Brooklyn,40.67088,-73.94727,Entire home/apt,4,1.0,1 bath,1.0,130.0,195,4.96,4.96,4.95,4.99,4.91,4.91
Magdiel,96,7.0,Kensington,Brooklyn,40.64378,-73.97631,Private room,2,1.5,1.5 shared baths,1.0,44.0,52,4.92,4.85,4.83,4.85,4.73,4.73
Jason,100,4.0,Elmhurst,Queens,40.73664,-73.87457,Entire home/apt,4,1.0,1 bath,1.0,146.0,37,4.84,4.89,4.81,4.95,4.78,4.86
Susan,100,2.0,South Slope,Brooklyn,40.66158,-73.98482,Entire home/apt,4,1.0,1 bath,1.0,94.0,134,4.83,4.92,4.93,4.95,4.93,4.77
Mike,70,11.0,Williamsburg,Brooklyn,40.70146,-73.9407,Private room,2,1.0,1 bath,1.0,160.0,3,3.67,3.67,3.33,3.67,3.67,3.67
Gal,71,12.0,Upper East Side,Manhattan,40.77497,-73.94784,Private room,1,1.0,1 shared bath,1.0,56.0,7,3.86,3.29,3.71,4.0,4.86,4.0
Forty Two,98,1.0,Williamsburg,Brooklyn,40.70797,-73.95188,Entire home/apt,8,1.0,1 bath,4.0,550.0,142,4.82,4.88,4.75,4.81,4.75,4.76
Alex,100,1.0,Bedford-Stuyvesant,Brooklyn,40.6849,-73.92852,Entire home/apt,2,1.0,1 bath,1.0,150.0,336,4.69,4.9,4.77,4.92,4.48,4.71
Clintisha,73,3.0,East Flatbush,Brooklyn,40.64775316502993,-73.927065774488,Entire home/apt,4,1.0,1 bath,1.0,189.0,1,5.0,5.0,5.0,5.0,5.0,4.0
Isabelle,100,5.0,Bedford-Stuyvesant,Brooklyn,40.68482,-73.94549,Entire home/apt,2,1.0,1 bath,1.0,102.0,5,5.0,5.0,4.8,5.0,5.0,5.0
Emily,100,1.0,Upper West Side,Manhattan,40.76846,-73.98254,Entire home/apt,6,1.0,1 bath,3.0,375.0,263,4.34,4.46,4.25,4.79,4.93,4.37
Michele,97,2.0,Rego Park,Queens,40.73582,-73.85646,Private room,2,1.0,1 private bath,2.0,130.0,133,4.94,4.92,4.92,4.98,4.8,4.89
Michael,90,4.0,Park Slope,Brooklyn,40.67038732645592,-73.97795409085964,Private room,4,1.0,1 private bath,3.0,300.0,77,4.86,4.83,4.73,4.95,4.92,4.77
Quincy,100,2.0,Springfield Gardens,Queens,40.661011,-73.750345,Private room,1,1.5,1.5 shared baths,1.0,96.0,3,5.0,4.67,4.67,5.0,4.67,5.0
Zachariah,100,2.0,Bedford-Stuyvesant,Brooklyn,40.68522,-73.93479,Private room,4,1.0,1 private bath,1.0,250.0,58,4.95,4.86,4.93,4.98,4.76,4.78
Ruko B,93,3.0,Hell's Kitchen,Manhattan,40.7625722890296,-73.99781404926408,Entire home/apt,4,1.0,1 bath,0.0,250.0,10,4.7,4.9,4.8,5.0,4.9,4.9
Wei,99,2.0,College Point,Queens,40.780562658976734,-73.84290810312837,Entire home/apt,2,1.0,1 bath,1.0,129.0,15,4.73,4.8,4.8,4.93,4.67,4.73
Peggy,88,3.0,Jackson Heights,Queens,40.74764,-73.888,Private room,2,2.0,2 shared baths,1.0,35.0,95,4.38,4.57,4.08,4.76,4.67,4.46
Nathan,43,58.0,Hell's Kitchen,Manhattan,40.76271,-73.99233,Entire home/apt,4,1.0,1 bath,1.0,140.0,6,5.0,5.0,5.0,5.0,5.0,4.67
Hudson River,100,26.0,Hell's Kitchen,Manhattan,40.7559,-73.99661,Private room,4,1.0,1 private bath,1.0,201.0,23,3.74,4.0,3.57,4.43,4.48,3.78
Rove,88,94.0,Gramercy,Manhattan,40.73419178158633,-73.98477707301375,Entire home/apt,6,3.0,3 baths,3.0,468.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Jessica,100,1.0,East Village,Manhattan,40.72475018527423,-73.98053010793457,Entire home/apt,2,2.0,2 baths,2.0,350.0,27,4.78,4.74,4.74,4.96,4.7,4.81
René,100,5.0,Harlem,Manhattan,40.809,-73.95166,Hotel room,2,2.0,2 shared baths,1.0,153.0,92,4.82,4.84,4.76,4.76,4.77,4.78
Herby,100,1.0,Prospect-Lefferts Gardens,Brooklyn,40.65721,-73.95525,Entire home/apt,2,1.0,1 bath,1.0,125.0,10,4.9,4.9,4.8,4.9,4.9,5.0
David,100,3.0,Prospect-Lefferts Gardens,Brooklyn,40.66220734652618,-73.95914826607417,Private room,1,1.0,1 shared bath,2.0,66.0,3,5.0,5.0,5.0,5.0,5.0,5.0
Phar'Victor,100,6.0,Bedford-Stuyvesant,Brooklyn,40.68765,-73.95338,Private room,1,1.0,1 shared bath,1.0,41.0,53,4.28,4.36,4.13,4.42,4.68,4.32
Elevate Properties,100,50.0,Hell's Kitchen,Manhattan,40.7612476,-73.9918935,Entire home/apt,4,1.5,1.5 baths,2.0,348.0,150,4.57,4.54,4.66,4.79,4.77,4.45
Nesva Hotel,100,15.0,Long Island City,Queens,40.75331,-73.93501,Hotel room,2,1.0,1 private bath,1.0,255.0,37,4.49,4.62,4.57,4.62,4.49,4.3
Divya,10,5.0,Theater District,Manhattan,40.7618947,-73.98579769999999,Private room,1,1.0,1 bath,1.0,108.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Stay With Vibe,74,330.0,Murray Hill,Manhattan,40.74909,-73.9774,Entire home/apt,2,1.0,1 bath,0.0,86.0,9,4.67,4.78,4.56,4.78,4.89,4.56
Chris,94,2.0,Harlem,Manhattan,40.802281,-73.94914399999999,Private room,2,1.0,1 private bath,1.0,136.0,18,5.0,5.0,4.94,5.0,4.89,4.94
Anibal E.,100,1.0,Ridgewood,Queens,40.69531625173793,-73.90207836716621,Private room,6,1.0,1 private bath,2.0,201.0,131,4.86,4.89,4.79,4.97,4.76,4.76
Mei,99,2.0,Carroll Gardens,Brooklyn,40.67978568784863,-73.99926761292807,Private room,2,1.0,1 shared bath,1.0,150.0,157,4.79,4.79,4.72,4.89,4.93,4.73
Inna,68,57.0,Upper East Side,Manhattan,40.77016,-73.95716,Entire home/apt,2,1.0,1 bath,0.0,99.0,35,4.8,4.86,4.77,4.94,4.91,4.46
Luis,100,2.0,Bushwick,Brooklyn,40.69461,-73.91178,Entire home/apt,2,2.0,2 baths,2.0,110.0,34,4.97,5.0,4.97,5.0,4.65,4.82
Stay With Vibe,74,330.0,Kips Bay,Manhattan,40.74184,-73.98031,Entire home/apt,3,1.0,1 bath,2.0,125.0,15,4.87,4.73,4.73,5.0,4.73,4.27
Karen,100,1.0,SoHo,Manhattan,40.72369,-74.00129,Entire home/apt,2,1.5,1.5 baths,1.0,241.0,3,4.67,5.0,5.0,5.0,5.0,4.67
Jamal,89,1.0,Canarsie,Brooklyn,40.63884760328779,-73.91269299309855,Entire home/apt,5,1.0,1 bath,2.0,195.0,26,4.96,5.0,5.0,4.96,4.69,4.96
Bruce,100,6.0,Bay Ridge,Brooklyn,40.62085,-74.02327,Entire home/apt,2,1.0,1 bath,1.0,216.0,45,4.87,4.89,4.85,4.93,4.87,4.78
Juanli,75,2.0,Prospect Heights,Brooklyn,40.68102,-73.97331,Entire home/apt,2,1.0,1 bath,1.0,160.0,28,4.96,5.0,4.96,4.93,5.0,4.89
Jude,100,12.0,Harlem,Manhattan,40.8174733,-73.94419090000001,Entire home/apt,5,1.0,1 bath,2.0,273.0,44,4.66,4.89,4.84,4.84,4.7,4.61
Ralph,100,1.0,Bushwick,Brooklyn,40.70221063078791,-73.9279380440712,Entire home/apt,2,1.0,1 bath,1.0,165.0,24,4.83,4.83,4.71,4.88,4.83,4.58
Outsite,72,166.0,Chelsea,Manhattan,40.74386,-73.99955,Private room,2,1.0,1 private bath,1.0,228.0,11,4.73,4.64,4.73,4.73,4.91,4.09
